"","IT_questions"
"1313","이때까지 한 프로그래밍 언어들에 대해서 설명해주시고, 왜 그 언어를 선택하였나요?"
"1314","빅데이터를 위해서 파이썬을 공부하셨다고 했는데, 자소서에는 블록체인을 쓰셨네요?"
"1315","마지막 한마디를 해보세요."
"1316","학교에서 감명 깊게 들은 수업은 무엇인가요?"
"1317","금융트렌드에 대해서 아는 것이 있나요?"
"1318","모바일 결제의 장단점은?"
"1319","핀테크의 미래를 예측해보세요"
"1320","취득한 자격증에서 무엇을 배웠나요?"
"1321","자기소개해보세요. 왜 결혼안했나요? 왜 얼굴이 밝은가요? 프로젝트에 있어 중요한건 무엇이라 생각하나요?"
"1322","자신의 고향에 대해서 설명해보시오."
"1323","고객이 무리한 요구를 하면 어떻게 대처하겠는가?"
"1324","친구의 짓궂은 장난을 얼마만큼 참아보았는가?"
"1325","화를 잘 내는 성격인가?"
"1326","가장 좋아하는 언어는 무엇인가?"
"1327","스스로 설계부터 완성까지 해 본 프로젝트가 있는가?"
"1328","자신이 원하지 않는 직무를 수행하게 될 경우 어떻게 할 것인가?"
"1329","편입을 한 이유는 무엇인가?"
"1330","학점이 낮은 이유가 따로 있는가?"
"1331","단점에 대해 말해보세요."
"1332","리더가 되어 팀을 이끈 경험이 있는가?"
"1333","직무와 관련된 동아리 활동 경험이 있는가?"
"1334","공백기에 무슨 활동을 했는가?"
"1335","회사를 다닌 경험이 있는데, 퇴사한 이유는 무엇이었는가?"
"1336","본인의 가치관과 형성 배경에 대해 말해보아라."
"1337","한국농어촌공사 사업에 대해서 알고 있는 것이 있는가?"
"1338","동화기업과 함께 사업을 진행하고 있는 해외 국가에 대해 알고있는대로 이야기해주세요."
"1339","토익 점수가 낮은데 이에 대해 어떻게 생각하시나요?"
"1340","자기소개서에 기재한 프로젝트는 어떤 툴로 진행하셨나요?"
"1341","업계 특성상 분위기가 강한데 잘할 수 있나요?"
"1342","전장 사업 관련 프로젝트 경험이 있나요?"
"1343","출퇴근 시간은 얼마나 걸리나요?"
"1344","전공을 배우면서 가장 관심있게 들었던 수업과 그 이유는?"
"1345","주량은 어떻게 되는가?"
"1346","지금까지 자신이 가장 몰입을 하면서 했던 일은 무엇인가?"
"1347","직무면접) 지원자4명이 모두 신입사원이 되었다. 이 구성원으로 팀프로젝트를 시작해야되는데 팀장으로 누구를 뽑을것이며 그 기준은 무엇인가?"
"1348","휴학을 1년동안 했었는데 그 기간동안 무엇을 했나?"
"1349","인보증이 가능한가요?"
"1350","회사가 어떤 일을 하는지 알고 있나요?"
"1351","전산업무는 무엇이라고 생각하나요?"
"1352","프로젝트 경험 중 기억에 남는 것이 있는가?"
"1353","경쟁사와 비교해서 서울메트로의 장단점을 설명해보시오."
"1354","그동안 공부해온 것들을 직무와 관련된 것과 직무 외적인 것으로 나눠서 사례를 들어 설명해보시오."
"1355","팀 내에서 갈등이 생기면 어떻게 하는가? 사례를 들어 설명하시오."
"1356","할 줄 아는 프로그래밍 언어로는 무엇이 있는가?"
"1357","쓸 줄 아는 프로그래밍 언어와 난이도"
"1358","임원이 되었을 때 다른 조직원들을 설득하기 위해서 어떻게 하겠는가?"
"1359","경쟁사와 비교해서 서울메트로의 장단점을 설명하라."
"1360","그 동안 공부해온 것을 직무와 직무 외적인 것으로 나누어 사례로 설명하라."
"1361","팀 내에서 갈등이 생기면 어떻게 하는지 사례 위주로 설명하라."
"1362","공공기관과 민간기관에서의 IT 직무의 역할이 어떻게 다르다고 생각하나요?"
"1363","OCP 자격증을 취득했던데 한번에 딴건가요?"
"1364","다른 부서나 상사가 하기 귀찮거나 어려운 일을 시키면 어떻게 행동할 것인가요?"
"1365","실제로 프로젝트가 어느정도의 규모였나요?"
"1366","프로젝트에서 어떤 기능을 맡았었나요?"
"1367","은행에서는 이러한 기술을 많이 도입하고 있지 않은데 경험해본 다른 기술들은 어떤 것이 있나요?"
"1368","관계형 데이터베이스란?"
"1369","기업들의 ERP시스템과 병원 ERP시스템의 차이를 설명해보세요"
"1370","마지막으로 하고싶은 말을 해보라"
"1371","병원 연봉수준을 알고있는가?"
"1372","자기소개해보세요"
"1373","직장생활 경험을 통해 느낀점이 무엇인가?"
"1374","본인의 가치관무엇인가?"
"1375","c와 java의 차이점에 대해 말해주세요."
"1376","mvc패턴에 대해서 설명해주세요."
"1377","인턴의 경험이 있고 이 경험이 지원한 직무와 유사한데, 어떤식으로 경험을 살릴 것인가?"
"1378","가장 자신있는 언어를 말해보세요."
"1379","회사에서 해보고 싶은 것을 말해보세요."
"1380","디비 뭐뭐 써봤나요?"
"1381","IT 프로그래머란 어떤 직업인가요?"
"1382","(자소서에 적혀있는) 인턴에 지원하게된 계기는 무엇인가요?"
"1383","(자소서에 적혀있는) 그룹 프로젝트에서 어떻게 협업해 나갔나요?"
"1384","부당하다고 느꼈던 경험"
"1385","신세계 모바일 상품권의 보안시스템이 어떻게 되어있는지 아는가?"
"1386","행복을 위해서 돈은 필수인가?"
"1387","DB의 정규화란 무엇인가?"
"1388","WAS의 역할은?"
"1389","지원동기를 말해보세요."
"1390","입사 후 포부를 말해보세요."
"1391","흡연여부와 주량에 대해 말해보세요."
"1392","취미와 특기는 무엇인가요?"
"1393","야근에 대해 어떻게 생각하나요?"
"1394","업계의 동향에 대해 말해보세요."
"1395","영어를 얼마나 하나요?"
"1396","좋아하는 컴투스 게임이 무엇인가요?"
"1397","릴리즈된 게임이 스마트폰 기종에 따라 프레임이 다를 시 어떻게 처리할 것인가?"
"1398","성격의 장단점이 무엇인가?"
"1399","실제 자신과 아는 사람들 중에 롤모델로 삼은 사람이 있는가?"
"1400","제출한 포트폴리오에 대해 설명해 보아라"
"1401","필기 테스트 문제에서 틀린 부분에 대해 다시 생각하고 공부해 왔는가?"
"1402","이 자격증은 뭐고, 이 자격증을 왜 취득했나요?"
"1403","프로젝트에 대한 설명을 해주시겠어요?"
"1404","자신의 성격은 어떤지 설명해주시겠어요?"
"1405","컨텍스트 스위칭이 무엇인지 설명해주세요."
"1406","평소 스트레스를 어떻게 푸나요?"
"1407","영화가 중간에 재미없으면 어떻게 하실건가요?"
"1408","제조 프로세스를 말해보세요"
"1409","주량이 어떻게 되시나요?"
"1410","집이 먼데도 다닐 수 있겠나요?"
"1411","철강산업 경험한 것을 말해보세요"
"1412","IT 직무에 대한 본인의 경험을 말해보세요"
"1413","NH선물이 어떠한 일을 하는지 알면 설명해주세요"
"1414","주변사람들은 지원자를 어떻게 평가합니까?"
"1415","싫어하는 사람이 있다면 어떤 사람인지 말씀해주세요."
"1416","수행했던 프로젝트에 대해 설명해 주세요."
"1417","아르바이트를 했던 이유는 무엇인가요?"
"1418","계약직으로 채용한다면 어떻게 하겠는가?"
"1419","동물로 자신을 소개하시오."
"1420","부동산 거품론, 빅데이터, 정부 3.0에 대해 서술"
"1421","은행 IT검사를 가게 된다면 어떻게 할 것인가?"
"1422","피싱 피해를 방지할 수 있는 방안"
"1423","(영어면접) 만약 휴가가 생기면 어디를 갔다오고 싶은가?"
"1424","(영어면접) 어떤 직무에 지원하는 것인가?"
"1425","(영어면접) 외국과 한국 문화의 차이점은 무엇이라고 생각하는가?"
"1426","(영어면접) 외국에서 생활하면서 어려운 점은 무엇인가?"
"1427","(영어면접) 주로 남는 시간에 무엇을 하느냐?"
"1428","나열된 수열에서 법칙을 찾아내서 다음에 올 번호를 찾아내시오."
"1429","어떠한 이유로 지원자가 이 회사에 적합하다고 생각하는가?"
"1430","왜 지원했는가?"
"1431","지원자의 경험이 어떻게 전공 공부에 도움이 됐는지 이야기해보시오."
"1432","프로그래밍 실력과 영어 실력의 비율을 말해보라."
"1433","사고에 대처한 경험이 있습니까?"
"1434","만약 약속이 있는데 회사에서 급히 처리해야 할 일이 있으면 어떻게 하시겠습니까?"
"1435","관련 경력이 없는데 잘 할 수 있습니까?"
"1436","자기소개를 해보세요."
"1437","이 직무를 수행하는데 필요한 능력이 뭐라고 생각하는지 2가지 말하고, 본인이 그 역량을 가진 이유를 말해보세요."
"1438","(수상경력보시곤) 왜 이 상을 받을 수 있었던거 같나요?"
"1439","한화 핵심 가치 3개(정도, 헌신, 도전)에 대해 각각 스스로 정의하고, 어느 가치가 본인에게 적합한지, 그 이유는 무엇인지 사례를 들어 설명"
"1440","4차 산업 혁명 중 무엇이 중요한지, 그것을 위해 본인은 무엇을 했는지 설명(경험, 학습 등..?)"
"1441","왜 인턴으로 지원했는지?"
"1442","자기소개해봐라."
"1443","인상 깊게 들은 수업은 무엇인가?"
"1444","지원자의 가치관을 말하고 설명하라."
"1445","살면서 가장 후회스러운 일에 대해 말해보세요."
"1446","최근 읽었던 책과 느낀 점에 대해 말해보세요."
"1447","연구개발을 많이 했는데, 회사에서 운영만 하라고 요구하면 어떻게 할 것인가?"
"1448","한화S&C에서 하고 싶은 일은 무엇인가?"
"1449","가장 힘들었던 일은 무엇인가?"
"1450","어떤 일을 기대하고 왔는가?"
"1451","영어로 아이스브레이킹을 설명해보시오"
"1452","한화S&C에 왜 지원 했는지 영어로 설명해 보시오"
"1453","IT관련 트렌드는 무엇인가?"
"1454","수많은 방법을 동원하여 설득했지만 회원이 자신의 이야기를 듣지 않으려 한다. 그럴 때 어떻게 대처할 것인가?"
"1455","지원한 직무에 대해 아는대로 설명해 보아라"
"1456","면접관들을 평가해보세요"
"1457","클라우드 컴퓨팅은 독인가, 약인가?"
"1458","프로젝트 경험에 대해 자세히 말헤보세요"
"1459","가장 본받고 싶은 사람이 누구인가?"
"1460","대상주식회사 외에 다른 데는 어디 지원했나?"
"1461","마지막으로 하고 싶은 말이 있는가?"
"1462","매출목표를 달성하기 위해 유통점에 밀어내기 하는 것을 어떻게 생각하는가? 추상적인 답변 말고 구체적으로 매출 목표를 달성하기 위해 어떻게 해결할 것인지 이야기하라."
"1463","자기소개해보시오."
"1464","지원동기를 말해보시오."
"1465","최근 읽은 책은 무엇인가?"
"1466","온라인영업을 한마디로 뭐라고 표현할 수 있는가?"
"1467","떨어지고 선배한테 받은 피드백은 무엇인가?"
"1468","인턴 과정 후 왜 떨어진 것 같은가?"
"1469","(일본어 면접) 일본어 배울 때 가장 힘들었던 점은 무엇이었는가?"
"1470","1분 자기소개를 해보시오."
"1471","과정과 결과 중 무엇이 중요한가?"
"1472","다시 대학으로 돌아간다면 무슨 전공을 하겠는가?"
"1473","일본 토요타 말고, 한국 토요타가 뭘 하고 있는지 아는가?"
"1474","일본어 공부를 어떤 계기로 하게 되었는가?"
"1475","재밌게 들었고 성적이 좋았던 과목과 이유를 말해보시오."
"1476","전공에 대한 지식이 있는가? 네트워크, DB, 소프트웨어공학 등 관련 지식으로 내세울 수 있는 것이 있는가?"
"1477","좌우명이 있다면, 그리고 그러한 좌우명을 갖게 된 이유는 무엇인가?"
"1478","클라우드 컴퓨팅에 대해 아는 것이 있는가?"
"1479","효율과 효과의 차이점은 무엇인가?"
"1480","Effective Communication에 대해서 어떻게 생각하는가?"
"1481","개발자로서 현재 진행중인 프로젝트가 70%정도 완성된 가운데 고객이 요구사항을 변경하였다. 요구사항 대로 할 경우 프로젝트를 새로 시작하여야한다. 이럴경우 어떻게 할것인가?"
"1482","빅데이터를 두 가지 단어로 표현한다면?"
"1483","우리 회사는 금융 회사인가? IT 회사인가?"
"1484","자본시장이란 무엇인가?"
"1485","준비해 온 자기소개를 30초 정도로 말해보세요."
"1486","증권이란 무엇인가?"
"1487","왜 인터파크에 지원했나요?"
"1488","입사 후 포부를 말해보세요."
"1489","원하는 부서가 있나요?"
"1490","스레드와 프로세스의 차이점은?"
"1491","가족관계가 어떻게 되는지 영어로 말해보세요"
"1492","스펙이 나쁘다고 생각하는데 본인의 생각은?"
"1493","이니텍 솔루션에 대해 아는 대로 말해주세요."
"1494","최근 읽은 책은 무엇인가요?"
"1495","본인이 수행한 프로젝트에 대한 설명해 보세요."
"1496","봉사활동에 관심 많은 이유?"
"1497","직무에 대하여 얼마나 이해하고 있는가? MES가 무엇인가?"
"1498","프로젝트에 대해 설명해주세요."
"1499","테니스 얼마나 할 줄 아세요?"
"1500","본인의 강점이 뭔가요?"
"1501","3d같은 개발부분의 업무가 힘든 점에 대해 어떻게 생각하나요?"
"1502","어떤 프로젝트를 해보았으며 기술은 무엇을 써보았나요?"
"1503","슈나이더일렉트릭이 하고 있는 일은?"
"1504","일을 한다면 언제부터 할 수 있는가?"
"1505","시운전에 대해서 알고 있는가?"
"1506","청년실업에 대한 원인 및 해결방안에 대해 PT 발표를 하시오."
"1507","본인이 면접관이라면 무슨 질문을 할 것인가?"
"1508","회사에 대해 궁금한 것이 있는가?"
"1509","지원 동기"
"1510","고객의 파와하라(압력)을 어떻게 견딜지?"
"1511","본인이 회사에 기여할 수 있는점"
"1512","지원자의 장점과 단점은 무엇인가?"
"1513","LINE 게임 중 해 본 게임은 무엇이며, 해당 게임의 레벨은 어떻게 되는가?"
"1514","브라우저에서 주소를 요청해서 결과를 받을 때까지의 과정을 설명해보십시오."
"1515","9개의 공들 중에 무게가 가벼운 공 하나를 찾는데 최소한의 횟수는?"
"1516","Sever는 어떠한 것을 써봤습니까?"
"1517","방송 송출전문 매체로 알고 온 것인가요?"
"1518","사이니지에 대해 들어보았습니까?"
"1519","본인이 생각하는 클라우드와 가상화란?"
"1520","본인의 최종꿈과 현재 직무의 연관점을 말해보세요."
"1521","힘든 경험과 뿌듯한 경험은?"
"1522","다른 언어는 무엇을 사용해 보았나요?"
"1523","본인의 학교 취업률 및 컴퓨터소프트웨어학과의 취업률은 어떤가요?"
"1524","자신있는 언어가 무엇인지, 그리고 그 언어가 자신있다고 말할 수 있는 이유는 무엇인가요?"
"1525","학점이 낮은데 무슨 이유이며, 장학금 받은 적이 있나요?"
"1526","혼자하는 걸 좋아하나요? 그렇다면 그 이유는 무엇인가요?"
"1527","21세기에 사라질 직업군이 뭐라고 생각하나요?"
"1528","로봇학과던데 왜 컴퓨터 직군으로 지원했나요?"
"1529","본인 전공인 로봇이 우리 코오롱과 관련 지을 산업이 있을지 말해보세요"
"1530","빅 데이터를 학습했다고 했는데 실제로 어떤 프로젝트를 참가해서 해 본 경험이 있나요?"
"1531","컴퓨터 분야가 아닌 다른 분야에 열정적으로 한 일은 무엇인가요?"
"1532","살면서 가장 싫었던 유형의 사람에 대해 말해보시오."
"1533","이니스프리 광고에서 느껴지는 이니스프리의 이미지는 어떤가?"
"1534","이니스프리 인스타그램 활용 마케팅 방안을 제안해보시오."
"1535","이니스프리 제품 중에서 본인을 가장 잘 표현할 수 있는 제품과 그 이유를 말해보시오."
"1536","이니스프리의 제품에 대한 앞으로의 홍보 방안을 제안해보시오."
"1537","군대를 늦게 다녀왔는데 이유가 있나요?"
"1538","학점이 높네요, 왜 이렇게 높은가요?"
"1539","집이 중산동인데 통근이 가능할까요?"
"1540","가장 존경하는 분이 누구인가요?"
"1541","왜 지원하셨습니까?"
"1542","주변에서 본인의 성격을 어떻게 평가 하나요?"
"1543","MOSFET 의 특성에 대해 말해보세요."
"1544","트랜지스터란?"
"1545","본인의 친구에 대해 말해보세요."
"1546","철골공사때 주의할 것은?"
"1547","건설업은 아침에 일찍 출근하고 옥외 작업입니다. 또한 지방 또는 해외로 갈 수 있습니다. 이를 알고 지원했나요?"
"1548","영어로 포부를 말해보세요."
"1549","가족에 대해 소개해보세요."
"1550","신도리코가 가지고 있는 솔루션에 대해 홈페이지에서 본 것을 제외하고 알고 있는 대로 말해보세요."
"1551","입사 후 포부에 대해 말해보세요."
"1552","자기소개해보세요."
"1553","지원동기는 무엇입니까?"
"1554","본인이 가장 자랑스러웠던 순간은 언제인가?"
"1555","좋아하는 과목은 무엇인가?"
"1556","(영어 질문) 평화발레오까지 오면서 보고 느낀 것을 말해보세요."
"1557","(영어 질문) 행복하거나 불행했던 기억에 대해 말해보세요."
"1558","스트레스 대처 방법에 대해서 말해보세요."
"1559","야근에 대해서 어떻게 생각하나요?"
"1560","클러치에 대해 말해보세요."
"1561","일진그룹에 대하여 아는 것이 있는가?"
"1562","자기소개를 해보시오."
"1563","지원자가 스스로 개발한 프로그램이나 시스템이 있는가?"
"1564","자기소개서 분량이 굉장히 짧은데 이유가 있나요?"
"1565","임금피크제에 대한 자신의 생각을 말해조세요."
"1566","원익큐브가 어떤 일을 하는 회사인지 알고 있나요?"
"1567","관심있는 전공과목은 무엇인가? 그 이유는?"
"1568","회사에 지원한 이유는?"
"1569","HW를 다뤄 본 적이 있는가?"
"1570","최근 가장 걱정하고 있는 일은 무엇인가? 그리고 걱정하는 이유는 무엇 때문인가?"
"1571","영업에서는 서로 끈끈한 관계를 형성하는게 중요한데 잘할 수 있는가?"
"1572","마지막으로 하고 싶은 말 있는가?"
"1573","전 직장 근무 당시, 영업적인 측면에서 아쉬운점이 잇었나?"
"1574","회사 분위기가 어떤 것 같은지 ?"
"1575","야근을 자주할 텐데 힘들지 않을지?"
"1576","회사에서 이루고 싶은 꿈?"
"1577","YK스틸의 인재상이 무엇인지 아는가?(기습질문)"
"1578","개발직이 야근이 많은데 잘 적응할 수 있는가?"
"1579","집과 거리가 꽤 있는데 출퇴근이 괜찮은가?"
"1580","강점을 통해 한국에너지기술연구원에 어떻게 기여할 수 있나요?"
"1581","교육받은 사항에 대해 말해보세요."
"1582","프로젝트 경험에 대해 말해보세요."
"1583","실무면접: (이력서에 기재되어있는 취미와 특기를 보며) 해당 취미를 시작한지 얼마나 되었는지?"
"1584","실무면접: 프로젝트를 하며 가장 힘들었던 점"
"1585","인성면접: 본인의 장점"
"1586","당신을 기와집으로 표현하면 어느 부분이라고 생각하세요?"
"1587","자신의 후임이 일을 제대로 처리하지 않는다면 어떻게 할 것인가?"
"1588","TCP UDP 차이는?"
"1589","대학생활에서 한 프로젝트에 대해 설명하시오."
"1590","직무에 지원하는 이유가 무엇인가? 합격하면 어디로 가고 싶으며 왜 가고 싶나?"
"1591","IT 직무를 선택한 이유"
"1592","다룰 줄 아는 언어 및 툴은?"
"1593","개발자가 갖춰야 할 필수 역량은?"
"1594","영어는 어느정도 하나요?"
"1595","캐리어에 대해서 얼만큼 알고 있나요?"
"1596","영업을 어떻게 할 것인가요?"
"1597","대학 시절 가장 흥미있었던 과목과 가장 어려웠었던 과목은 어떤 것인가?"
"1598","생각했던 것과 다른 일을 하게 될 수도 있는데, 그때는 어떻게 할 것인지?"
"1599","왜 소프트웨어 직무를 선택했는가?"
"1600","왜 우리회사에 입사를 원하나요?"
"1601","고객사와 협업시 의견 충돌 등의 문제가 발생했을 때 어떻게 대응할 것인가?"
"1602","최근 관심있는 IT 분야 또는 이슈가 있는가?"
"1603","가장 좋은 성적과 가장 나쁜 성적을 받은 교과목은 무엇인가?"
"1604","의미 있는 도전 경험은 무엇이었나?"
"1605","실패 했던 경험은 무엇이었나?"
"1606","관심있는 IT 이슈, 분야"
"1607","PHP 최신 버전을 알고 있는가?"
"1608","리플레이션에 대해 아는가?"
"1609","지금 사용하는 기술과 다른 기술을 사용하는 직무를 맡는다면 어떻게 할 것인가?"
"1610","본인이 지원한 직무에 능력이 있다고 생각하는가?"
"1611","성격의 장단점에 대해 말해보라"
"1612","이 회사를 선택한 이유는 무엇인가?"
"1613","인생에서 잘했다고 생각하는 일과 후회되는 일을 각각 말해보라"
"1614","전 직장에 전화를 한다면 뭐라고 뭐라고 할 것 같은가?"
"1615","(전 직장이 있었던 경우) 이직을 하려는 이유는 무엇인가?"
"1616","어떤 자격증이 있는가?"
"1617","지원 직무 외에 다른 일이 주어져도 할 수 있겠는가?"
"1618","통근 가능한가?"
"1619","홈페이지 구성에 대해 말해보라."
"1620","객체지향와 절차지향의 차이와 공통점에 대해 말해보세요."
"1621","팀 프로젝트를 진행하면서 어땠나요?"
"1622","인턴경험에 대해 말해보세요."
"1623","인턴과정 중 서버 개발을 하였는데 어떤 서버를 개발하였는가?"
"1624","2년의 공백기가 있었는데, 어떤 이유로 휴학을 하였는가?"
"1625","전공과목 중에서 가장 좋아하는 과목이 무엇인가?"
"1626","100억짜리 사업이 있는데 모험적이라면 도전할건가요?"
"1627","레이더시스템 설계하는 것을 간단하게 C언어로 구현할수 있나요?"
"1628","축구 포지션 중에 좋아하는 포지션은 무엇이며 이와 연관시켜서 회사에서의 역할을 설명해보세요"
"1629","휴학을 안한 이유는 무엇인가요?"
"1630","지방에 지원한 이유가 무엇입니까?"
"1631","OOP를 얼마나 접해보았나요?"
"1632","OOP를 얼마나 접해본 적이 있습니까?"
"1633","개발자로서 가져야 할 3가지 능력"
"1634","윈도우프로그램이 왜 호환성이 높은가"
"1635","자바의 특징이 무엇인지 나열해봐라"
"1636","C++클래스에 대해 3가지 말해봐라"
"1637","SW직무가 아니면 무슨 직업을 했을 것 같나"
"1638","UML의 필수요소가 무엇인가"
"1639","1분 자기소개서"
"1640","취미 및 특기"
"1641","경력 퇴직사유"
"1642","본 회사에 대해 아는대로 말해보라"
"1643","iOS가 포트폴리오에 있는데 iOS를 경험해 본 적이 있는가"
"1644","본인의 성격은 어떤가"
"1645","자기 소개"
"1646","STP에 대해 아는 것을 설명해보세요."
"1647","CDN에 대해서 아는 대로 설명해보세요.(인턴 경험)"
"1648","대학교때 많이 놀았나바요?"
"1649","술 담배는 얼마나 하세요?"
"1650","자신의 장단점이 어떻게 되요?"
"1651","사물인터넷에 대해 어떻게 생각하나?"
"1652","드론에 대한 장점은?"
"1653","드론이 우리 회사에 미칠 수 있는 점은 무엇이라고 생각하는가?"
"1654","주량이 어느정도 되는지? 스트레스는 어떻게 푸나?"
"1655","라이나생명이 앞으로 어떻게 고객만족을 시킬것인가"
"1656","거리에 휴지통을 설치해야 할까요?"
"1657","주식 경험이 있나요?"
"1658","진행했던 웹 프로젝트가 있는가"
"1659","사용했던 소프트웨어는 무엇이 있었는가"
"1660","그 외에 경험사항이나 이력에 대한 질문"
"1661","회사 다닐 때 어려웠던 점은 무엇이었는가?"
"1662","상사와 의견이 맞지 않다면 어떻게 할 것인가?"
"1663","프로젝트에 대해 설명해주세요."
"1664","인턴 생활 중 가장 힘들었던 점"
"1665","IT를 전공한 이유와 앞으로 포부"
"1666","4차 산업혁명에 대해 말해보세요."
"1667","다른 지원자와 비교했을 때 자신의 창의성은 무엇인가요?"
"1668","조직 경험에 대해 말해보세요."
"1669","지역 정보화에 대해 말해보세요."
"1670","한국지역정보개발원 홈페이지를 보고 느낀 점을 말해보세요."
"1671","희망 연봉이 어떻게 되나요?"
"1672","이전 직장에서 무엇을 했나요?"
"1673","지원동기가 어떻게 되나요?"
"1674","학점이 좋지 못한 이유는 무엇인가요?"
"1675","다른 공공기관에도 지원했나요?"
"1676","이루고 싶은 목표가 무엇인가요?"
"1677","지역정보개발원에 대해 설명해보세요."
"1678","String과 StringBuilder의 차이점은?"
"1679","자신이 한 프로젝트레 관해서 업계관련 지식이 있는지 확인, 면접관에게 물어볼 것은?"
"1680","자주 사용하는 어플이 무엇입니까?"
"1681","소켓통신이 무엇인가요?"
"1682","자신의 개발 등급과 그 이유를 설명해보세요."
"1683","직업과 직장에 대한 본인의 생각을 말해보세요."
"1684","키오스크란 무엇이라 생각하는가?"
"1685","키오스크를 사용하며 불편한 점은 무엇이었나요?"
"1686","품질이란 무엇인가요?"
"1687","형상관리를 해본 적 있나요?"
"1688","주말근무나 야근이 있을텐데 괜찮겠느냐?"
"1689","파견근무가 있을텐데 괜찮겠느냐?"
"1690","지원동기는?"
"1691","(영어질문) 만약 로또에 당첨된다면 어떻게 하실 건가요?"
"1692","개발하다가 어려움이 발생한다면 어떻게 해결할 것인가요?"
"1693","만약 지원한 직무와 다른 직무로 배치가 된다면 어떻게 하실 건가요?"
"1694","1억 개의 URL을 중복하지 않게 저장하려면 어떻게 해야하나요"
"1695","프로젝트에서 비콘을 사용했는데, 비콘의 위치 측정 정확도가 얼마나 된다고 생각하나요?"
"1696","학창 시절 수행한 프로젝트에 대해서 설명해주세요."
"1697","공백기가 왜 있는가?"
"1698","가장 기뻤던 순간과 나뻤던 순간은?"
"1699","문과 출신인데, IT쪽 적응을 잘 할 수 있겠는가?"
"1700","영어 성적이 좋지 않은데, 커버할 수 있는 다른 장점을 말해보시오."
"1701","거짓말에 대해 어떻게 생각하시나요?"
"1702","자기소개, 지원동기, 회사가 하는 일에 대해 말해보시오."
"1703","학창 시절 모르는 게 있으면 질문을 많이 했는가?"
"1704","기술영업 직무를 수행함에 있어 제일 중요한 덕목은 무엇입니까?"
"1705","본인의 강점에 대해 말씀해 주십시오."
"1706","지원한 직무에 있어서 신입사원이 필요한 덕목으로 무엇이 필요하다고 생각하십니까?"
"1707","현대알루미늄에 대해 아는 것이 있으시면 말씀해 주십시오."
"1708","리더로서 팀원간의 마찰을 해결했던 경험을 말해보세요"
"1709","입사 후 진행하고싶은 연구개발을 말해보세요"
"1710","리더로서 팀원간의 마찰을 해결했던 경험을 말해보세요"
"1711","입사 후 진행하고싶은 연구개발을 말해보세요"
"1712","성격의 장점은 무엇인가요?"
"1713","인턴 때 맡은 업무가 무엇인가요?"
"1714","좋은 소프트웨어는 무엇인가요?"
"1715","서버환경을 구축한 적이 있는가?"
"1716","경제(경영)관련 수업을 들은 적이 있는가?"
"1717","1부터 10만개의 수 중에서 소수를 뽑는 알고리즘을 설명해보라"
"1718","개발하면서 문제점들이 무엇이었나"
"1719","그 문제가 발생하면 어떻게 대처해야 하나"
"1720","두개의 언어의 메모리는 각각 어떤방식으로 관리하는지"
"1721","안드로이드 프로그래밍은 어느정도 하는지"
"1722","자신있는 언어가 자바 c++이라고 했는데 그 두개의 장단점"
"1723","ffmpeg을 사용하면서 발생한 문제점"
"1724","MVC가 뭔가요?"
"1725","db procedure에 대해 아나요?"
"1726","사용한 dbms는?"
"1727","넥슨 지원동기에 대해 말해보시오. 그리고 해당 직무에 지원한 동기는 무엇인가?"
"1728","직무를 위해 준비해온 것을 말해보시오."
"1729","본인의 10년 뒤의 모습에 대해 말해보시오."
"1730","가상함수가 무엇인지 설명해봐라."
"1731","가장 재미있게 했었던 게임이나 혹은 최근에 플레이해 본 게임의 재미요소를 분석하고, 해당 게임의 문제점 도출과 해결방안을 제시한 후, 추천해주고 싶은 유저층에 대해 말해보시오."
"1732","내적, 외적이 무엇인가?"
"1733","동기화 객체 3가지를 말해보시오."
"1734","동적할당이 무엇인지 설명해봐라."
"1735","맵과 해쉬맵의 시간복잡도가 어떻게 되는가?"
"1736","멀티스레드 환경에서 문제되는 것들을 설명해봐라."
"1737","멀티쓰레딩 혹은 멀티프로세스를 할 때 스케쥴링 기법에 대해 설명하시오."
"1738","메모리 단편화란 무엇인가?"
"1739","뮤택스, 세마포어를 언급했는데, 둘의 차이점이 무엇인지 설명해봐라."
"1740","별명은 무엇인가?"
"1741","본인의 장단점은 무엇인가?"
"1742","본인이 진행한 프로젝트에 대해서 설명해봐라."
"1743","스태틱 캐스트와 다이나믹 캐스트에 대해 설명해봐라."
"1744","어떤 직원이 되고 싶은가?"
"1745","오버로딩과 오버라이딩의 차이점은 무엇인가?"
"1746","자신을 사물에 비유한다면?"
"1747","잘하는 것은 무엇인가?"
"1748","좋아하는 티비 프로그램은 무엇인가?"
"1749","준비해온 질문이 있을 텐데, 자문자답해봐라."
"1750","지금까지 어떤 걸 공부해왔는지 본인의 경험같은 걸 예로 들어 구체적으로 말해봐라"
"1751","최근 1년 사이에 가장 임팩트 있었던 게임이 무엇인지 말해보시오."
"1752","최근 읽은 책은 무엇인가?"
"1753","취미는 무엇인가?"
"1754","퀵소트에 대해 설명해봐라"
"1755","팀원과의 마찰이 있을 때 어떻게 대처할 것인가?"
"1756","페이스북 친구는 몇 명인가?"
"1757","해당 전공을 전공한 이유는 무엇인가?"
"1758","해쉬맵과 맵의 차이가 무엇인가?"
"1759","해쉬맵에서 인덱스가 문자열일 경우는?"
